age.days	clock.hours	clock.min	type	amount.oz	duration.min	time.hours
9	8	45	BreastFeed	NA	15	0.75
9	9	0	Formula	1	NA	1
9	NA	NA	Rest	0	NA	NA
9	11	20	Pump	1	NA	3.33333333333334
9	NA	NA	Formula	0.5	NA	NA
9	15	35	BreastFeed	NA	15	7.58333333333334
9	15	50	Formula	0.5	NA	7.83333333333334
9	NA	NA	Rest	0	NA	NA
9	17	17	Pump	3	43	9.28333333333333
9	18	0	Rest	0	195	10
9	21	15	BreastFeed	NA	15	13.25
9	21	30	Rest	0	76	13.5
9	22	46	BreastFeed	NA	15	14.7666666666667
9	23	1	Formula	2	56	15.0166666666667
9	23	57	Rest	0	139	15.95
10	2	16	BreastFeed	NA	5	18.2666666666667
10	2	21	Rest	0	29	18.35
10	2	50	BreastFeed	NA	12	18.8333333333333
10	3	2	Formula	3	48	19.0333333333333
10	3	50	Rest	0	NA	19.8333333333333
10	6	44	BreastFeed	NA	30	22.7333333333333
10	7	45	Rest	0	180	23.75
10	10	45	BreastFeed	NA	30	26.75
10	NA	NA	Pump	1	NA	NA
10	NA	NA	Formula	0.5	NA	NA
10	11	58	Rest	0	62	27.9666666666667
10	13	0	Formula	0.5	15	29
10	13	15	Rest	0	96	29.25
10	14	51	BreastFeed	NA	20	30.85
10	15	11	Rest	NA	28	31.1833333333333
10	15	39	Formula	2	16	31.65
10	15	55	Rest	0	NA	31.9166666666667
10	18	45	BreastFeed	NA	10	34.75
10	18	55	Rest	0	9	34.9166666666667
10	19	4	BreastFeed	NA	15	35.0666666666667
10	19	19	Rest	0	11	35.3166666666667
10	19	30	Formula	1	NA	35.5
10	NA	NA	Pump	0.5	NA	NA
10	19	54	Rest	0	117	35.9
10	21	51	Formula	2	39	37.85
10	22	30	Rest	0	87	38.5
10	23	57	BreastFeed	NA	15	39.95
